Lat,Long
1.340444,103.965126
1.340443,103.965134
1.340444,103.965134
1.340444,103.965141
1.340444,103.965149
1.340444,103.965157
1.340445,103.965157
1.340445,103.965164
1.340445,103.965172
1.340446,103.965172
1.340446,103.965179
1.340447,103.965179
1.340447,103.965187
1.340448,103.965187
1.340449,103.965195
1.34045,103.965195
1.340451,103.965202
1.340452,103.96521
1.340453,103.96521
1.340454,103.96521
1.340454,103.965218
1.340455,103.965218
1.340456,103.965218
1.340457,103.965225
1.340458,103.965225
1.340459,103.965233
1.34046,103.965233
1.340461,103.965233
1.340461,103.96524
1.340462,103.96524
1.340463,103.965248
1.340464,103.965248
1.340465,103.965256
1.340466,103.965256
1.340467,103.965256
1.340468,103.965263
1.340469,103.965263
1.34047,103.965263
1.340471,103.965271
1.340472,103.965271
1.340473,103.965271
1.340474,103.965279
1.340476,103.965279
1.340477,103.965279
1.340478,103.965286
1.340481,103.965286
1.340482,103.965294
1.340483,103.965294
1.340484,103.965294
1.340486,103.965302
1.340487,103.965302
1.340489,103.965302
1.34049,103.965309
1.340491,103.965309
1.340493,103.965309
1.340494,103.965317
1.340496,103.965317
1.340497,103.965317
1.340499,103.965324
1.3405,103.965324
1.340502,103.965324
1.340504,103.965332
1.340505,103.965332
1.340507,103.965332
1.340509,103.965332
1.34051,103.96534
1.340512,103.96534
1.340514,103.96534
1.340516,103.965347
1.340518,103.965347
1.340519,103.965347
1.340521,103.965355
1.340523,103.965355
1.340525,103.965355
1.340527,103.965363
1.340529,103.965363
1.340531,103.965363
1.340533,103.96537
1.340535,103.96537
1.340537,103.96537
1.340539,103.965378
1.340541,103.965378
1.340543,103.965378
1.340545,103.965378
1.340547,103.965385
1.340549,103.965385
1.340552,103.965385
1.340554,103.965393
1.340556,103.965393
1.340558,103.965393
1.340561,103.965393
1.340563,103.965401
1.340565,103.965401
1.340567,103.965401
1.340569,103.965401
1.340572,103.965408
1.340574,103.965408
1.340576,103.965408
1.340581,103.965416
1.340583,103.965416
1.340585,103.965416
1.340587,103.965424
1.34059,103.965424
1.340591,103.965424
1.340594,103.965424
1.340596,103.965431
1.340598,103.965431
1.3406,103.965431
1.340605,103.965439
1.340607,103.965439
1.340609,103.965439
1.340611,103.965446
1.340613,103.965446
1.340616,103.965446
1.340618,103.965446
1.34062,103.965454
1.340622,103.965454
1.340625,103.965454
1.340627,103.965462
1.340629,103.965462
1.340631,103.965462
1.340634,103.965462
1.340636,103.965469
1.340638,103.965469
1.34064,103.965469
1.340642,103.965469
1.340645,103.965477
1.340647,103.965477
1.340649,103.965477
1.340651,103.965485
1.340656,103.965485
1.340658,103.965492
1.34066,103.965492
1.340662,103.965492
1.340665,103.965492
1.340667,103.9655
1.340669,103.9655
1.340671,103.9655
1.340673,103.965508
1.340675,103.965508
1.340677,103.965508
1.34068,103.965508
1.340682,103.965515
1.340684,103.965515
1.340686,103.965515
1.340688,103.965523
1.34069,103.965523
1.340693,103.965523
1.340695,103.965523
1.340697,103.96553
1.340699,103.96553
1.340701,103.96553
1.340707,103.965538
1.340709,103.965538
1.340711,103.965546
1.340714,103.965546
1.340716,103.965546
1.340718,103.965553
1.34072,103.965553
1.340722,103.965553
1.340724,103.965553
1.340726,103.965561
1.340729,103.965561
1.34073,103.965561
1.340733,103.965569
1.340735,103.965569
1.340737,103.965569
1.340739,103.965569
1.340741,103.965576
1.340743,103.965576
1.340745,103.965576
1.340747,103.965584
1.340749,103.965584
1.34075,103.965584
1.340752,103.965584
1.340755,103.965591
1.340757,103.965591
1.340761,103.965591
1.340763,103.965599
1.340765,103.965599
1.340767,103.965599
1.34077,103.965599
1.340771,103.965607
1.340773,103.965607
1.340775,103.965607
1.340778,103.965607
1.34078,103.965614
1.340781,103.965614
1.340783,103.965614
1.340786,103.965614
1.340788,103.965622
